Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,score,ranking
University of Arizona,-0.08820804006822063,-0.46485655658155817,-0.15278726636918866,-0.24692877776666772,1.763526111554581,78
University of Oregon,0.015180281681082607,-0.4593452409746228,-0.21610092208199372,-0.3481216534745153,1.707919217490167,84
Colorado School of Mines,-0.34812706091455825,-0.4485588607042626,-0.14785707869092457,-0.17700956734036416,1.5947541846901065,92
Illinois Institute of Technology,-0.2374320650121805,-0.23340976280039444,-0.21291835237414997,-0.37569345456050757,1.6568531175929837,86
Syracuse University,-0.24983693666206958,-0.3365010774093694,-0.1487725100824389,-0.342173905703876,1.6390223224824623,90
Temple University,-0.00657017808085671,-0.5813999652535964,-0.2133762390371684,-0.2751236307311585,1.6398367392374362,89
Tulane University,-0.15157826325570073,-0.5189447618128216,-0.1381545977214333,-0.2426236252124283,1.6650055043378322,85
University of Georgia,-0.25933635304204083,-0.33212759936075975,-0.20938713407613277,-0.3372451384692098,1.578210527392073,94
University of Houston,-0.2025703673413818,-0.5766636219040774,-0.12491156261099341,-0.20830232501389367,1.60385887546987,91
University of Nebraska,-0.418307189092553,-0.5100358651793399,-0.11264179529356617,-0.09471341182053222,1.5806084909542248,93
University of Tennessee,-0.3945077797958301,-0.3304038405631009,-0.2080301596986972,-0.2359631830959247,1.5474017891866632,97
Washington State University,-0.2494794138881235,-0.23304775151714285,-0.21243445340561257,-0.3748151151521479,1.6465300183771894,88
Brigham Young University,-0.21987122067745227,-0.6179376135304937,-0.2052635381750033,-0.2029441693122348,1.4702902106450322,103
George Washington University,-0.4746032018333234,-0.23075154076942245,-0.14644310389310866,-0.30280105176278804,1.5617078540815736,96
Lehigh University,-0.22281407946653536,-0.6287810383277856,-0.20859465097518431,-0.1202869724270186,1.5358300111436922,100
UNC - Charlotte,-0.3628586126631117,-0.5076322650801058,-0.209696275963894,-0.06935331097561738,1.5667662876574873,95
University of Massachusetts Lowell,-0.25796920727133943,-0.4423193423590559,-0.20786867767568867,-0.26832898649955933,1.539820538534573,98
University of South Carolina,-0.2590285943950902,-0.5673464034044702,-0.146472320553114,-0.20557839711210685,1.537881036875435,99
Wayne State University,-0.2565753484577169,-0.4396464474056305,-0.20659252615398377,-0.2997684787311022,1.5137239515917829,101
Augusta University,-0.4997531296695991,-0.4894200647492303,-0.08724552532293939,-0.2305471347949763,1.4093408978034712,112
Brandeis University,-0.10381268444668043,-0.6126886948013405,-0.20366071735317626,-0.35880473764915854,1.4373399180898605,106
Case Western Reserve University,-0.3475721004085761,-0.4855181082857939,-0.20075915941729344,-0.2915563331880465,1.3909010510405062,113
Drexel University,-0.30737988930720783,-0.612960184937862,-0.06687674582636674,-0.295963232639791,1.4331266996289886,107
Florida International University,-0.36788530201600667,-0.5516953739547177,-0.10939491322994047,-0.2626415066398233,1.4246896564997282,111
Portland State University,-0.4217729468101934,-0.49168936762167303,-0.07688773345324129,-0.2951108668181329,1.4308458376369755,109
Rensselaer Polytechnic Institute,-0.24375896724722712,-0.6190349709406328,-0.14472397653412747,-0.23398550915228156,1.4748033284659472,102
Univ. of Maryland - Baltimore County,-0.2070778671240856,-0.6115059849217012,-0.20328817305919294,-0.2629630712337043,1.4314716560015321,108
University of Iowa,-0.44422578758780484,-0.43575944436745745,-0.07711934266843531,-0.29703476050186095,1.4621674172146577,104
University of Louisiana - Lafayette,-0.39506888280534325,-0.5408675862389263,-0.199204641118298,-0.22731149732391556,1.3538541448537331,116
University of New Hampshire,-0.2406022207289797,-0.5511088037131584,-0.20279067909907003,-0.29446182625794093,1.4273432225410672,110
University of North Texas,-0.26653461453583116,-0.493445255881916,-0.20398211719050263,-0.2961120452869302,1.4562327194450362,105
Auburn University,-0.309404325145801,-0.5864099817824429,-0.19556995279106598,-0.34414348875184786,1.2807790038690585,130
